HD Tune Pro: HITACHI HDS7225SBSUN250G 0650NYWV44OA9CA (#VDS41DT7CYWAHJ) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 30.5 MB/s
Transfer Rate Maximum : 71.1 MB/s
Transfer Rate Average : 51.3 MB/s
Position 	Transfer Rate
65.5 %	8.54 ms
66.0 %	6.62 ms
66.5 %	0.40 ms
66.5 %	16.74 ms
66.7 %	0.45 ms
66.7 %	0.37 ms
66.7 %	8.51 ms
66.9 %	9.72 ms
66.9 %	0.52 ms
67.4 %	0.23 ms
67.5 %	0.40 ms
67.7 %	0.40 ms
67.8 %	9.77 ms
67.8 %	15.91 ms
67.9 %	0.52 ms
67.9 %	19.33 ms
68.0 %	7.66 ms
68.0 %	0.39 ms
68.2 %	9.33 ms
68.2 %	14.42 ms
68.4 %	15.99 ms
68.4 %	0.36 ms
68.7 %	0.49 ms
68.7 %	0.38 ms
68.7 %	0.34 ms
68.8 %	0.37 ms
69.1 %	11.17 ms
69.2 %	12.32 ms
69.3 %	0.43 ms
69.3 %	0.34 ms
69.4 %	0.26 ms
69.5 %	0.29 ms
69.7 %	0.53 ms
69.9 %	0.40 ms
69.9 %	9.93 ms
70.0 %	11.40 ms
70.1 %	10.57 ms
70.1 %	0.29 ms
70.2 %	0.54 ms
70.3 %	0.52 ms
70.7 %	0.62 ms
70.8 %	0.41 ms
70.9 %	0.49 ms
71.0 %	0.38 ms
71.3 %	0.38 ms
71.3 %	0.24 ms
71.5 %	8.54 ms
72.2 %	10.94 ms
72.3 %	10.19 ms
73.1 %	7.52 ms
73.5 %	15.72 ms
73.6 %	16.33 ms
74.1 %	0.41 ms
74.2 %	0.36 ms
74.5 %	16.07 ms
74.5 %	8.88 ms
75.3 %	0.36 ms
75.4 %	9.26 ms
75.5 %	0.46 ms
75.6 %	14.34 ms
75.9 %	0.37 ms
76.2 %	0.40 ms
76.2 %	0.44 ms
76.2 %	0.51 ms
76.2 %	0.27 ms
76.4 %	18.26 ms
77.1 %	12.22 ms
77.1 %	0.43 ms
78.1 %	0.41 ms
78.5 %	12.44 ms
78.6 %	15.95 ms
78.8 %	8.94 ms
78.8 %	8.07 ms
78.9 %	8.95 ms
79.0 %	0.42 ms
79.0 %	13.38 ms
79.0 %	0.63 ms
79.4 %	0.34 ms
79.6 %	7.37 ms
79.6 %	17.62 ms
79.6 %	0.45 ms
79.7 %	16.68 ms
79.8 %	9.10 ms
79.8 %	10.87 ms
79.8 %	3.34 ms
80.3 %	0.27 ms
80.6 %	0.31 ms
80.8 %	0.36 ms
80.9 %	8.69 ms
81.1 %	10.64 ms
81.1 %	11.99 ms
81.6 %	0.45 ms
81.6 %	13.69 ms
81.9 %	0.42 ms
81.9 %	0.45 ms
82.3 %	0.49 ms
82.4 %	0.31 ms
82.6 %	0.52 ms
82.9 %	0.38 ms
83.2 %	0.52 ms
83.4 %	0.39 ms
83.5 %	9.30 ms
83.6 %	0.37 ms
84.1 %	10.63 ms
84.2 %	0.41 ms
86.6 %	10.20 ms
86.8 %	13.03 ms
87.2 %	0.31 ms
88.2 %	15.85 ms
88.7 %	0.64 ms
88.9 %	0.47 ms
89.0 %	10.09 ms
89.1 %	0.39 ms
89.8 %	0.34 ms
90.2 %	13.10 ms
91.3 %	10.88 ms
93.4 %	0.36 ms
93.7 %	0.45 ms
93.8 %	16.66 ms
93.8 %	7.84 ms
94.1 %	8.50 ms
94.3 %	0.31 ms
