HD Tune Pro: WDC WD2500BEKT-66F3T2 (#     WD-WX81AA010117) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 34.2 MB/s
Transfer Rate Maximum : 75.4 MB/s
Transfer Rate Average : 54.2 MB/s
Position 	Transfer Rate
46.7 %	9.49 ms
46.8 %	5.12 ms
46.8 %	7.85 ms
46.9 %	5.64 ms
46.9 %	0.15 ms
47.1 %	0.18 ms
47.2 %	5.83 ms
47.2 %	7.36 ms
47.4 %	6.17 ms
47.4 %	4.33 ms
47.5 %	5.71 ms
47.8 %	4.61 ms
47.9 %	4.03 ms
47.9 %	12.54 ms
47.9 %	8.45 ms
48.1 %	5.61 ms
48.3 %	6.11 ms
48.3 %	6.00 ms
48.3 %	14.21 ms
48.4 %	9.23 ms
48.4 %	3.04 ms
48.5 %	7.95 ms
48.5 %	4.86 ms
48.5 %	3.61 ms
48.6 %	3.77 ms
48.9 %	4.78 ms
49.1 %	16.25 ms
49.2 %	12.48 ms
49.4 %	0.18 ms
49.5 %	6.14 ms
49.5 %	5.21 ms
50.0 %	7.35 ms
50.2 %	4.96 ms
50.3 %	6.32 ms
50.5 %	5.89 ms
50.5 %	6.29 ms
50.6 %	2.64 ms
50.8 %	7.02 ms
50.8 %	4.19 ms
51.1 %	5.04 ms
51.4 %	3.97 ms
51.5 %	13.07 ms
51.5 %	4.96 ms
51.9 %	4.47 ms
52.0 %	13.63 ms
52.1 %	7.03 ms
52.1 %	0.17 ms
52.1 %	5.15 ms
52.2 %	8.40 ms
52.2 %	12.83 ms
52.7 %	5.93 ms
53.0 %	0.16 ms
53.0 %	8.46 ms
53.3 %	14.14 ms
53.4 %	2.68 ms
53.5 %	8.37 ms
53.5 %	14.25 ms
53.6 %	4.89 ms
53.6 %	0.17 ms
53.9 %	0.18 ms
54.0 %	7.57 ms
54.1 %	6.81 ms
54.2 %	0.18 ms
54.2 %	0.15 ms
54.2 %	0.16 ms
54.2 %	5.62 ms
54.7 %	0.17 ms
54.9 %	3.63 ms
55.0 %	10.73 ms
55.0 %	3.06 ms
55.1 %	5.28 ms
55.3 %	8.19 ms
55.4 %	0.17 ms
55.5 %	0.16 ms
55.5 %	4.45 ms
55.5 %	13.16 ms
55.6 %	6.64 ms
55.8 %	6.41 ms
55.9 %	3.14 ms
56.0 %	7.89 ms
56.5 %	4.95 ms
56.6 %	14.84 ms
56.7 %	13.44 ms
56.8 %	5.05 ms
57.3 %	4.12 ms
57.4 %	4.84 ms
57.4 %	4.64 ms
57.5 %	5.89 ms
57.9 %	0.17 ms
58.0 %	3.94 ms
58.0 %	4.78 ms
58.2 %	4.51 ms
58.2 %	0.18 ms
58.7 %	6.67 ms
58.7 %	5.90 ms
58.9 %	7.45 ms
58.9 %	5.22 ms
59.1 %	0.20 ms
59.2 %	6.34 ms
59.3 %	14.07 ms
59.3 %	4.85 ms
59.4 %	4.89 ms
59.6 %	5.69 ms
59.8 %	0.35 ms
59.9 %	3.48 ms
60.3 %	5.26 ms
60.4 %	5.26 ms
60.6 %	3.98 ms
60.7 %	0.16 ms
60.7 %	4.78 ms
60.7 %	8.54 ms
60.7 %	0.16 ms
60.7 %	5.97 ms
60.8 %	4.82 ms
60.9 %	3.68 ms
61.1 %	6.21 ms
61.3 %	5.44 ms
61.4 %	6.14 ms
61.7 %	7.51 ms
61.8 %	5.24 ms
62.1 %	5.29 ms
62.3 %	8.08 ms
62.6 %	12.89 ms
63.0 %	4.43 ms
63.1 %	5.54 ms
63.8 %	5.54 ms
63.9 %	4.79 ms
64.7 %	6.79 ms
64.9 %	0.15 ms
64.9 %	9.97 ms
65.0 %	0.17 ms
65.2 %	5.24 ms
65.2 %	7.53 ms
65.3 %	8.22 ms
65.5 %	6.37 ms
66.1 %	4.66 ms
66.4 %	4.19 ms
66.7 %	0.18 ms
66.7 %	4.58 ms
66.9 %	0.18 ms
67.0 %	4.76 ms
67.4 %	6.52 ms
67.5 %	9.98 ms
68.1 %	4.21 ms
68.1 %	13.15 ms
68.6 %	6.93 ms
69.0 %	3.33 ms
69.0 %	4.04 ms
69.0 %	4.55 ms
69.4 %	14.12 ms
69.4 %	4.82 ms
70.0 %	5.99 ms
70.3 %	2.61 ms
70.7 %	5.89 ms
70.8 %	14.10 ms
71.0 %	5.62 ms
71.2 %	8.59 ms
71.7 %	5.41 ms
71.8 %	14.72 ms
72.1 %	0.16 ms
72.3 %	3.97 ms
72.3 %	14.57 ms
72.5 %	6.40 ms
72.5 %	0.18 ms
72.5 %	5.09 ms
72.8 %	5.54 ms
73.2 %	7.63 ms
73.3 %	0.16 ms
73.3 %	0.18 ms
74.0 %	2.95 ms
74.0 %	5.29 ms
74.2 %	6.62 ms
74.4 %	6.89 ms
74.7 %	0.17 ms
74.9 %	3.04 ms
75.1 %	16.24 ms
