HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 19.0 MB/s
Transfer Rate Maximum : 90.8 MB/s
Transfer Rate Average : 71.1 MB/s
Position 	Transfer Rate
35.9 %	15.95 ms
36.0 %	12.74 ms
36.1 %	17.89 ms
36.2 %	15.88 ms
36.3 %	14.93 ms
36.4 %	23.02 ms
36.6 %	15.35 ms
36.8 %	22.00 ms
36.8 %	18.19 ms
37.0 %	19.58 ms
37.1 %	15.47 ms
37.1 %	16.51 ms
37.3 %	16.54 ms
37.4 %	13.15 ms
37.4 %	20.28 ms
37.5 %	19.13 ms
37.6 %	17.25 ms
37.7 %	13.63 ms
37.8 %	15.39 ms
37.8 %	14.75 ms
37.8 %	15.17 ms
38.0 %	19.10 ms
38.1 %	13.67 ms
38.2 %	15.93 ms
38.3 %	20.80 ms
38.3 %	13.58 ms
38.4 %	15.83 ms
38.4 %	13.81 ms
38.8 %	19.81 ms
38.9 %	22.61 ms
39.0 %	12.21 ms
39.0 %	19.38 ms
39.1 %	18.75 ms
39.1 %	14.91 ms
39.2 %	14.78 ms
39.2 %	13.07 ms
39.3 %	16.20 ms
39.3 %	20.24 ms
39.3 %	14.24 ms
39.5 %	15.54 ms
39.5 %	24.14 ms
39.9 %	20.46 ms
40.0 %	15.02 ms
40.1 %	22.21 ms
40.3 %	18.56 ms
40.3 %	18.23 ms
40.4 %	13.18 ms
40.7 %	17.63 ms
40.9 %	21.51 ms
40.9 %	22.73 ms
40.9 %	19.95 ms
41.0 %	23.03 ms
41.3 %	16.55 ms
41.4 %	14.94 ms
41.4 %	14.19 ms
41.5 %	12.19 ms
41.5 %	17.25 ms
41.7 %	15.56 ms
41.7 %	23.37 ms
41.9 %	19.59 ms
41.9 %	18.90 ms
42.0 %	16.21 ms
42.2 %	16.96 ms
42.4 %	22.88 ms
42.4 %	12.48 ms
42.5 %	22.07 ms
42.5 %	16.22 ms
42.7 %	22.53 ms
42.7 %	20.34 ms
42.9 %	19.34 ms
