HD Tune Pro: HITACHI HDS7225SBSUN250G 0650NYWV44OA9CA (#VDS41DT7CYWAHJ) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 27.6 MB/s
Transfer Rate Maximum : 64.6 MB/s
Transfer Rate Average : 53.1 MB/s
Position 	Transfer Rate
28.7 %	15.94 ms
28.7 %	17.17 ms
28.8 %	10.11 ms
29.2 %	16.41 ms
29.5 %	12.18 ms
29.6 %	13.87 ms
29.8 %	16.49 ms
29.9 %	10.84 ms
29.9 %	16.86 ms
30.1 %	16.86 ms
30.3 %	9.42 ms
30.6 %	14.08 ms
30.7 %	15.56 ms
30.7 %	14.70 ms
30.8 %	14.60 ms
30.8 %	14.85 ms
30.9 %	17.53 ms
31.0 %	12.32 ms
31.0 %	14.28 ms
31.2 %	13.15 ms
31.5 %	11.15 ms
31.6 %	11.74 ms
31.6 %	11.15 ms
31.7 %	11.81 ms
31.7 %	13.83 ms
31.7 %	9.64 ms
31.8 %	14.25 ms
31.9 %	11.70 ms
31.9 %	15.64 ms
32.2 %	11.28 ms
32.5 %	15.43 ms
32.8 %	14.46 ms
33.0 %	11.85 ms
33.0 %	11.04 ms
33.0 %	17.23 ms
33.2 %	13.14 ms
33.2 %	15.37 ms
33.6 %	9.91 ms
33.6 %	15.90 ms
33.6 %	11.76 ms
33.7 %	14.38 ms
33.8 %	16.44 ms
33.8 %	18.08 ms
33.8 %	17.38 ms
33.8 %	11.84 ms
33.9 %	19.16 ms
34.0 %	15.31 ms
34.1 %	15.43 ms
34.2 %	13.18 ms
34.2 %	16.18 ms
34.3 %	12.48 ms
34.3 %	12.65 ms
34.3 %	17.93 ms
34.7 %	10.16 ms
35.0 %	11.26 ms
35.1 %	9.86 ms
35.4 %	11.10 ms
35.5 %	11.20 ms
35.6 %	10.67 ms
35.6 %	17.82 ms
35.7 %	11.02 ms
35.7 %	14.54 ms
35.8 %	15.69 ms
35.9 %	11.24 ms
36.0 %	11.52 ms
36.0 %	13.96 ms
36.0 %	15.08 ms
36.1 %	16.88 ms
36.2 %	12.16 ms
36.6 %	18.14 ms
36.8 %	12.24 ms
36.9 %	16.80 ms
37.0 %	12.06 ms
37.1 %	12.68 ms
37.3 %	14.07 ms
37.4 %	12.75 ms
37.8 %	16.94 ms
37.9 %	14.55 ms
38.3 %	12.06 ms
38.3 %	11.14 ms
38.3 %	13.46 ms
38.5 %	10.20 ms
38.6 %	10.19 ms
38.7 %	11.02 ms
38.7 %	11.68 ms
38.8 %	10.60 ms
38.9 %	14.02 ms
38.9 %	10.65 ms
38.9 %	13.55 ms
39.2 %	12.98 ms
39.4 %	14.78 ms
39.5 %	10.84 ms
39.5 %	16.92 ms
39.5 %	16.94 ms
39.5 %	10.99 ms
39.8 %	17.01 ms
39.8 %	12.77 ms
39.9 %	15.90 ms
40.0 %	17.85 ms
40.0 %	10.79 ms
40.1 %	15.97 ms
40.2 %	16.84 ms
40.3 %	10.03 ms
40.6 %	16.42 ms
40.8 %	16.36 ms
40.9 %	11.04 ms
41.0 %	17.20 ms
41.5 %	14.57 ms
41.5 %	12.40 ms
41.6 %	14.37 ms
41.6 %	13.60 ms
41.7 %	14.35 ms
41.9 %	13.97 ms
41.9 %	14.16 ms
42.0 %	14.12 ms
42.1 %	18.01 ms
42.9 %	16.18 ms
43.1 %	12.67 ms
43.1 %	15.54 ms
43.2 %	12.90 ms
43.2 %	13.89 ms
43.3 %	17.32 ms
43.3 %	17.94 ms
43.3 %	17.59 ms
43.7 %	13.86 ms
43.8 %	11.08 ms
43.8 %	13.76 ms
43.8 %	17.26 ms
43.8 %	11.63 ms
44.0 %	15.45 ms
44.2 %	17.78 ms
44.3 %	13.72 ms
44.4 %	16.38 ms
