HD Tune Pro: WDC WD2500BEKT-66F3T2 (#     WD-WX81AA010117) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 35.7 MB/s
Transfer Rate Maximum : 73.0 MB/s
Transfer Rate Average : 56.7 MB/s
Position 	Transfer Rate
22.3 %	15.24 ms
22.3 %	13.10 ms
22.4 %	11.81 ms
22.4 %	17.63 ms
22.5 %	12.08 ms
22.5 %	16.49 ms
22.6 %	13.26 ms
22.6 %	11.95 ms
22.6 %	15.02 ms
22.6 %	12.65 ms
22.7 %	13.97 ms
22.7 %	11.75 ms
22.9 %	10.72 ms
22.9 %	17.51 ms
23.0 %	12.65 ms
23.2 %	11.71 ms
23.2 %	13.89 ms
23.2 %	13.38 ms
23.2 %	15.85 ms
23.3 %	12.77 ms
23.3 %	12.12 ms
23.4 %	14.05 ms
23.4 %	12.51 ms
23.5 %	13.55 ms
23.7 %	12.69 ms
23.8 %	17.48 ms
23.8 %	16.24 ms
24.1 %	11.95 ms
24.1 %	12.01 ms
24.2 %	10.80 ms
24.2 %	16.95 ms
24.2 %	16.38 ms
24.3 %	16.14 ms
24.4 %	12.50 ms
24.5 %	11.70 ms
24.8 %	18.11 ms
24.8 %	17.88 ms
25.0 %	18.01 ms
25.0 %	17.28 ms
25.1 %	15.45 ms
25.1 %	16.19 ms
25.1 %	13.45 ms
25.3 %	15.52 ms
25.3 %	16.19 ms
25.3 %	15.75 ms
25.4 %	12.42 ms
25.4 %	10.05 ms
25.4 %	17.11 ms
25.5 %	14.31 ms
25.6 %	14.49 ms
25.8 %	13.76 ms
25.9 %	13.00 ms
25.9 %	15.65 ms
25.9 %	13.54 ms
25.9 %	12.29 ms
25.9 %	13.27 ms
26.1 %	16.85 ms
26.3 %	16.02 ms
26.4 %	17.27 ms
26.5 %	11.44 ms
26.7 %	11.04 ms
26.7 %	10.81 ms
26.8 %	14.57 ms
26.9 %	12.47 ms
27.0 %	17.67 ms
27.0 %	15.18 ms
27.1 %	17.60 ms
27.2 %	19.09 ms
27.2 %	13.41 ms
27.3 %	15.17 ms
27.3 %	10.09 ms
27.6 %	13.88 ms
27.6 %	18.14 ms
27.6 %	14.29 ms
27.7 %	15.23 ms
27.7 %	12.31 ms
27.7 %	14.50 ms
27.8 %	14.25 ms
27.9 %	12.14 ms
28.0 %	11.46 ms
28.0 %	13.02 ms
28.0 %	11.03 ms
