HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 16.9 MB/s
Transfer Rate Maximum : 95.1 MB/s
Transfer Rate Average : 73.7 MB/s
Position 	Transfer Rate
17.4 %	8.25 ms
17.5 %	5.01 ms
17.6 %	4.03 ms
17.6 %	8.08 ms
17.6 %	0.10 ms
17.7 %	6.19 ms
17.9 %	17.92 ms
17.9 %	15.49 ms
17.9 %	6.20 ms
18.0 %	5.07 ms
18.1 %	4.12 ms
18.1 %	5.72 ms
18.1 %	5.59 ms
18.1 %	7.63 ms
18.3 %	0.10 ms
18.4 %	0.09 ms
18.4 %	5.12 ms
18.5 %	17.84 ms
18.6 %	18.86 ms
18.6 %	8.03 ms
18.6 %	5.63 ms
18.8 %	4.98 ms
18.8 %	5.72 ms
18.9 %	6.83 ms
19.0 %	7.23 ms
19.0 %	0.34 ms
19.0 %	6.89 ms
19.4 %	17.77 ms
19.4 %	0.09 ms
19.6 %	6.51 ms
19.7 %	0.09 ms
19.7 %	4.54 ms
19.7 %	15.58 ms
19.9 %	5.62 ms
20.0 %	5.11 ms
20.2 %	5.41 ms
20.2 %	0.09 ms
20.2 %	6.78 ms
20.6 %	6.64 ms
20.7 %	6.44 ms
20.8 %	7.16 ms
20.8 %	5.23 ms
20.8 %	5.65 ms
20.9 %	7.29 ms
21.1 %	0.09 ms
21.3 %	5.79 ms
21.3 %	6.37 ms
21.3 %	7.86 ms
21.4 %	4.10 ms
21.4 %	6.19 ms
21.4 %	9.61 ms
21.5 %	5.75 ms
21.8 %	3.55 ms
21.8 %	2.93 ms
21.8 %	6.53 ms
22.0 %	5.70 ms
22.0 %	6.89 ms
22.0 %	5.40 ms
22.4 %	0.09 ms
22.4 %	0.09 ms
22.5 %	6.13 ms
22.6 %	6.05 ms
22.7 %	18.59 ms
22.8 %	4.89 ms
22.8 %	6.15 ms
22.8 %	4.48 ms
22.9 %	6.65 ms
23.0 %	0.94 ms
23.0 %	7.75 ms
23.0 %	0.09 ms
23.1 %	5.79 ms
23.1 %	5.93 ms
23.1 %	18.50 ms
23.2 %	7.03 ms
23.3 %	0.09 ms
23.3 %	4.87 ms
23.4 %	6.42 ms
23.4 %	0.09 ms
23.5 %	4.01 ms
23.5 %	6.76 ms
23.8 %	10.32 ms
24.1 %	6.45 ms
24.1 %	0.10 ms
24.1 %	5.59 ms
24.2 %	8.81 ms
24.6 %	3.02 ms
24.8 %	3.53 ms
24.9 %	5.62 ms
24.9 %	6.81 ms
25.0 %	5.74 ms
25.0 %	8.00 ms
25.1 %	5.43 ms
25.1 %	6.19 ms
25.1 %	5.73 ms
25.2 %	15.19 ms
25.3 %	7.15 ms
25.5 %	0.28 ms
25.7 %	6.30 ms
25.7 %	7.01 ms
